,Cif,Name,Site,CN,OS,Period,Group,Angles
0,10062.cif,Li1+:24.000 O2-:18.000 Pb4+:3.000,Li1,4.0,1,2,1,"[122.425, 111.131, 110.2, 106.296, 103.993, 101.046]"
4,10257.cif,Li1+:6.000 O2-:8.000 P5+:2.000,Li1,4.0,1,2,1,"[115.442, 113.241, 107.59, 107.188, 106.966, 105.986]"
5,10257.cif,Li1+:6.000 O2-:8.000 P5+:2.000,Li2,4.0,1,2,1,"[124.785, 107.452, 106.087, 106.087, 105.736, 105.736]"
6,10257.cif,Li1+:6.000 O2-:8.000 P5+:2.000,O1,4.0,-2,2,6,"[118.783, 117.788, 116.821, 103.25, 99.706, 96.806]"
7,10257.cif,Li1+:6.000 O2-:8.000 P5+:2.000,O2,4.0,-2,2,6,"[119.96, 119.96, 115.957, 101.584, 97.458, 97.458]"
8,10257.cif,Li1+:6.000 O2-:8.000 P5+:2.000,O3,4.0,-2,2,6,"[115.957, 115.957, 114.111, 107.848, 100.405, 100.405]"
9,10257.cif,Li1+:6.000 O2-:8.000 P5+:2.000,P1,4.0,5,3,5,"[110.604, 109.944, 109.944, 109.299, 108.506, 108.506]"
10,10479.cif,Li1+:32.000 O2-:64.000 W6+:16.000,Li1,4.0,1,2,1,"[115.849, 109.457, 109.451, 107.578, 107.122, 107.122]"
14,10479.cif,Li1+:32.000 O2-:64.000 W6+:16.000,O3,4.0,-2,2,6,"[120.245, 115.151, 114.708, 106.153, 104.129, 92.51]"
17,1384.cif,F1-:4.000 Li1+:4.000 O2-:12.000 S6+:4.000,Li1,4.0,1,2,1,"[119.531, 119.531, 110.622, 110.622, 108.699, 87.071]"
20,1384.cif,F1-:4.000 Li1+:4.000 O2-:12.000 S6+:4.000,S1,4.0,6,3,6,"[117.477, 113.478, 113.478, 104.543, 102.815, 102.815]"
24,14045.cif,I5+:12.000 Li1+:8.000 O2-:36.000 Rb1+:4.000,Li1,4.0,1,2,1,"[118.79, 116.244, 110.99, 105.575, 104.91, 96.979]"
25,14045.cif,I5+:12.000 Li1+:8.000 O2-:36.000 Rb1+:4.000,Li2,4.0,1,2,1,"[121.413, 113.204, 111.58, 109.063, 106.028, 92.705]"
36,14235.cif,Al3+:3.996 Li1+:4.000 O2-:24.000 Si4+:8.004,Al1,4.0,3,3,3,"[113.035, 111.82, 110.506, 110.182, 110.127, 100.492]"
37,14235.cif,Al3+:3.996 Li1+:4.000 O2-:24.000 Si4+:8.004,Al2,4.0,3,3,3,"[115.233, 112.241, 112.241, 111.242, 103.079, 103.079]"
