,Angles
4,"[111.814, 111.79, 111.79, 107.032, 107.032, 107.026]"
5,"[130.98, 105.795, 105.795, 104.011, 104.011, 103.285]"
6,"[119.974, 119.967, 104.543, 104.466, 104.466, 101.18]"
9,"[116.129, 114.872, 109.962, 107.254, 105.754, 103.185]"
14,"[117.413, 111.457, 109.889, 106.368, 105.623, 105.522]"
16,"[160.7, 106.392, 97.117, 92.172, 90.481, 90.332]"
18,"[124.694, 121.386, 110.041, 107.806, 97.111, 92.08]"
19,"[126.927, 124.305, 121.158, 99.986, 94.847, 83.742]"
20,"[120.073, 118.986, 115.113, 100.661, 100.026, 98.198]"
21,"[134.131, 130.263, 120.365, 93.486, 89.381, 81.112]"
24,"[120.411, 119.604, 110.072, 109.451, 101.584, 91.851]"
26,"[115.944, 114.797, 114.381, 111.574, 104.442, 93.991]"
28,"[131.391, 116.583, 114.589, 103.438, 98.552, 86.009]"
29,"[116.872, 116.872, 113.954, 113.954, 98.262, 98.065]"
30,"[124.298, 124.298, 121.796, 121.796, 85.158, 84.474]"
37,"[111.045, 110.769, 109.81, 109.372, 109.117, 106.678]"
38,"[110.506, 110.481, 110.157, 110.133, 108.337, 107.236]"
39,"[124.667, 113.16, 113.16, 102.275, 102.275, 97.342]"
40,"[121.648, 120.132, 113.559, 104.022, 97.025, 95.158]"
41,"[116.853, 109.342, 109.342, 108.615, 108.615, 103.197]"
42,"[117.969, 109.153, 109.153, 108.609, 108.609, 102.187]"
43,"[117.6, 109.603, 109.524, 109.19, 108.826, 100.784]"
44,"[118.424, 112.998, 112.998, 104.14, 104.14, 102.474]"
45,"[117.265, 117.245, 113.042, 105.302, 101.344, 100.195]"
47,"[165.72, 95.918, 95.918, 95.918, 95.918, 67.877]"
48,"[148.299, 103.651, 99.718, 99.718, 99.718, 99.718]"
69,"[133.283, 133.283, 111.457, 107.494, 88.877, 88.877]"
78,"[121.965, 120.053, 114.582, 101.233, 97.909, 96.131]"
81,"[116.66, 111.672, 108.463, 107.909, 107.434, 104.276]"
82,"[122.087, 120.086, 114.576, 101.321, 97.811, 95.9]"
85,"[116.821, 111.562, 108.379, 107.897, 107.422, 104.318]"
86,"[112.439, 110.977, 108.857, 108.857, 107.866, 107.866]"
109,"[113.222, 112.799, 110.628, 110.457, 105.325, 103.963]"
114,"[115.849, 109.457, 109.451, 107.578, 107.122, 107.122]"
