,Cif,Name,Site,CN,OS,Period,Group,SDofBV,Angles
4,100114.cif,Be2+:2.000 Li1+:2.000 Sb3-:2.000,Be1,4.0,2.0,2,2,0.052,"[111.814, 111.79, 111.79, 107.032, 107.032, 107.026]"
5,100166.cif,F1-:40.000 K1+:20.000 Li1+:8.000 Nd3+:4.000,Li1,4.0,1.0,2,1,0.008,"[130.98, 105.795, 105.795, 104.011, 104.011, 103.285]"
6,100166.cif,F1-:40.000 K1+:20.000 Li1+:8.000 Nd3+:4.000,Li2,4.0,1.0,2,1,0.053,"[119.974, 119.967, 104.543, 104.466, 104.466, 101.18]"
9,100200.cif,H1+:8.000 Li1+:4.000 O2-:16.000 P5+:4.000,Li1,4.0,1.0,2,1,0.006,"[116.129, 114.872, 109.962, 107.254, 105.754, 103.185]"
14,100200.cif,H1+:8.000 Li1+:4.000 O2-:16.000 P5+:4.000,P1,4.0,5.0,3,5,0.117,"[117.413, 111.457, 109.889, 106.368, 105.623, 105.522]"
14,100087.cif,Al3+:4.040 K1+:2.320 Na1+:1.680 O2-:32.000 Si4+:11.960,Si4,4.0,4.0,3,4,0.024,"[111.796, 110.934, 110.855, 110.163, 108.79, 104.081]"
24,100300.cif,F1-:72.000 Li1+:36.000 V3+:12.000,Li2,4.0,1.0,2,1,0.011,"[120.411, 119.604, 110.072, 109.451, 101.584, 91.851]"
24,100219.cif,Al3+:48.000 Ca2+:69.480 Na1+:5.000 O2-:144.000,Al3,4.0,3.0,3,3,0.031,"[125.303, 112.899, 108.319, 104.584, 103.491, 102.357]"
26,100324.cif,C4+:4.000 Li1+:8.000 O2-:12.000,Li1,4.0,1.0,2,1,0.021,"[115.944, 114.797, 114.381, 111.574, 104.442, 93.991]"
26,100221.cif,Al3+:24.000 Ca2+:33.000 Na1+:6.000 O2-:72.000,Al1,4.0,3.0,3,3,0.022,"[123.443, 109.038, 107.086, 106.547, 105.349, 104.3]"
28,100221.cif,Al3+:24.000 Ca2+:33.000 Na1+:6.000 O2-:72.000,Al3,4.0,3.0,3,3,0.014,"[125.867, 110.237, 108.228, 105.551, 104.005, 102.052]"
29,100348.cif,Al3+:2.000 Li1+:2.000 O2-:20.000 Si4+:8.000,Al1,4.0,3.0,3,3,0.001,"[116.872, 116.872, 113.954, 113.954, 98.262, 98.065]"
29,100221.cif,Al3+:24.000 Ca2+:33.000 Na1+:6.000 O2-:72.000,Al4,4.0,3.0,3,3,0.021,"[123.203, 109.433, 108.168, 105.623, 105.242, 103.816]"
