,Cif,Name,Site,CN,OS,Period,Group,SDofBV,Angles,Planes
0,100524.cif,Li1+:3.000 O2-:31.000 Ta5+:12.000,Ta1,7.0,5.0,6,5,0.203,"[167.11, 146.439, 146.439, 142.486, 142.317, 142.317, 96.442, 96.442, 92.069, 92.069, 92.069, 92.069, 84.905, 84.905, 84.905, 84.905, 75.369, 71.246, 71.246, 71.071, 71.071]","{(-5.07, 2.22, -7.02), (5.07, 2.22, 7.02), (0.0, 11.05, -0.0), (2.87, -5.29, 4.2), (0.0, -7.6, 0.0), (-5.07, -4.99, 1.39), (5.07, -4.99, -1.39), (7.94, 3.54, -2.81), (-7.94, -3.54, -2.81), (0.0, -4.82, 5.63), (3.7, -0.0, 8.41), (-7.94, 3.54, 2.81), (7.94, -3.54, 2.81), (-6.44, 0.0, -5.63), (-5.07, -2.22, 7.02), (5.07, -2.22, -7.02), (0.0, -6.74, 0.0), (2.87, 5.29, -4.2), (0.0, 6.43, -0.0), (0.0, 6.74, 0.0), (0.0, -4.15, 8.41), (-6.44, 0.0, 5.63), (-5.07, 4.99, -1.39), (5.07, 4.99, 1.39), (3.7, 0.0, -8.41), (0.0, -4.82, -5.63), (9.45, -0.0, 0.0), (-2.87, 5.29, 4.2), (0.0, -11.05, 0.0), (0.0, -11.91, 0.0), (0.0, -11.36, 0.0), (-2.87, -5.29, -4.2), (0.0, -4.15, -8.41)}"
1,100525.cif,Li1+:2.000 O2-:30.000 Ta5+:12.000,Ta1,7.0,5.0,6,5,0.168,"[159.554, 156.621, 146.574, 146.574, 135.121, 135.113, 98.517, 98.517, 98.517, 98.517, 87.943, 87.943, 87.943, 87.943, 79.782, 79.782, 78.311, 78.311, 68.26, 68.26, 66.859]","{(7.57, 2.03, 2.45), (4.48, -4.26, 6.19), (-4.48, 4.26, 6.19), (8.79, 0.0, 4.89), (-0.0, -0.17, -7.5), (-0.17, 0.0, -7.5), (-4.48, -4.26, -6.19), (-0.0, 5.45, 0.0), (4.48, 4.26, -6.19), (-7.57, 2.03, -2.45), (-3.09, -3.11, 3.75), (3.09, 3.11, 3.75), (0.0, -5.63, -4.89), (4.48, -4.37, 1.3), (-4.48, 4.37, 1.3), (-0.0, -9.4, 0.0), (0.0, -9.69, 0.0), (0.0, 6.06, 0.0), (-0.0, 9.4, 0.0), (0.0, -5.63, 4.89), (7.57, -2.03, -2.45), (-7.57, -2.03, 2.45), (3.09, -3.11, -3.75), (-0.0, -5.45, 0.0), (0.0, -5.74, 0.0), (0.0, -0.17, 7.5), (-0.17, 0.0, 7.5), (-6.35, 0.0, 0.0), (8.79, 0.0, -4.89), (0.0, -8.8, 0.0), (-4.48, -4.37, -1.3), (4.48, 4.37, -1.3), (-3.09, 3.11, -3.75)}"
2,10251.cif,B3+:56.000 Cl1-:8.000 Li1+:32.000 O2-:96.000,Li3,7.0,1.0,2,1,0.058,"[149.373, 149.373, 149.373, 122.622, 122.622, 122.622, 119.65, 119.65, 119.65, 93.675, 93.675, 93.675, 86.577, 86.577, 86.577, 75.084, 75.084, 75.084, 59.562, 59.562, 59.562]","{(1.92, 4.17, -7.39), (-5.66, 4.4, 9.11), (-5.57, -3.33, 0.11), (-5.12, -11.02, 3.09), (-3.56, -7.6, -9.8), (-4.4, -2.38, -3.53), (-5.41, 0.66, -9.36), (2.38, -3.53, -4.4), (9.8, -3.56, 7.6), (-4.26, 3.83, 5.7), (1.73, 3.75, -9.66), (9.66, 1.73, -3.75), (9.11, 5.66, 4.4), (-7.39, -1.92, 4.17), (10.37, 10.37, -10.37), (3.53, -4.4, 2.38), (0.56, 2.8, -6.02), (-7.6, 9.8, 3.56), (3.33, 0.11, -5.57), (7.82, 3.77, 4.1), (-9.36, 5.41, 0.66), (-2.8, -6.02, 0.56), (3.77, -4.1, -7.82), (-4.17, -7.39, 1.92), (-4.4, 9.11, -5.66), (3.83, -5.7, 4.26), (-5.7, -4.26, -3.83), (-4.1, 7.82, -3.77), (-0.66, -9.36, -5.41), (3.09, 5.12, -11.02), (-4.61, -4.61, 4.61), (11.02, 3.09, -5.12), (-6.02, -0.56, 2.8), (0.11, 5.57, -3.33), (-3.75, -9.66, 1.73)}"
3,10251.cif,B3+:56.000 Cl1-:8.000 Li1+:32.000 O2-:96.000,Li4,7.0,1.0,2,1,0.07,"[158.607, 158.607, 158.607, 118.21, 118.21, 118.21, 117.078, 117.078, 117.078, 100.906, 100.906, 100.906, 82.241, 82.241, 82.241, 75.812, 75.812, 75.812, 59.887, 59.887, 59.887]","{(9.51, 0.66, 5.44), (4.73, 4.73, -4.73), (-5.74, -9.24, -4.43), (-5.23, -3.2, 11.14), (-3.86, -1.83, 9.77), (7.89, -4.1, -3.86), (-3.58, 9.9, 7.68), (9.77, 3.86, -1.83), (3.86, 7.89, 4.1), (4.45, -3.49, -2.42), (-9.24, 4.43, 5.74), (3.82, -4.3, 5.8), (3.41, 5.64, -0.15), (9.9, -7.68, 3.58), (2.42, 4.45, 3.49), (-1.83, -9.77, 3.86), (-10.56, -10.56, 10.56), (-5.44, 9.51, -0.66), (6.13, 2.88, -0.64), (0.64, 6.13, -2.88), (-7.68, -3.58, -9.9), (7.5, 4.25, -2.01), (11.14, 5.23, -3.2), (-0.15, -3.41, 5.64), (-4.43, 5.74, -9.24), (-5.8, 3.82, 4.3), (-2.88, -0.64, 6.13), (-4.1, 3.86, -7.89), (-0.66, 5.44, 9.51), (-3.2, -11.14, 5.23), (3.49, -2.42, 4.45), (2.01, 7.5, -4.25), (-5.64, -0.15, 3.41), (-4.3, -5.8, -3.82), (-4.25, -2.01, 7.5)}"
4,10251.cif,B3+:56.000 Cl1-:8.000 Li1+:32.000 O2-:96.000,Li1,7.0,1.0,2,1,0.062,"[167.084, 153.151, 140.255, 140.255, 138.193, 131.026, 131.026, 110.904, 110.904, 96.465, 96.465, 87.954, 87.954, 87.438, 87.438, 76.573, 76.573, 52.901, 52.901, 52.836, 52.836]","{(2.01, 8.19, 0.9), (4.26, 3.83, 5.7), (-8.39, 4.1, 2.38), (-0.92, 8.19, 2.02), (-10.15, 0.0, -4.54), (-2.45, 7.66, 5.41), (-2.38, -3.53, -4.4), (-3.37, -8.8, -1.51), (-3.03, 0.0, -10.15), (-3.77, -4.1, -7.82), (3.77, -4.1, 7.82), (-3.37, 8.8, -1.51), (-3.01, -4.13, 2.0), (1.18, -3.83, 12.51), (2.41, -7.66, 8.06), (8.39, 4.1, -2.38), (3.01, -4.13, -2.0), (2.41, 7.66, 8.06), (-1.48, -4.66, -1.39), (1.48, -4.66, 1.39), (1.51, -8.8, 5.05), (-1.18, -3.83, -12.51), (-3.91, 12.32, -1.02), (3.91, 12.32, 1.02), (2.01, -8.19, 0.9), (1.12, -4.4, -6.08), (-4.26, 3.83, -5.7), (-0.92, -8.19, 2.02), (-1.12, -4.4, 6.08), (-2.45, -7.66, 5.41), (1.51, 8.8, 5.05), (-5.66, 4.4, -9.11), (2.38, -3.53, 4.4), (-5.53, 0.0, 12.22), (5.66, 4.4, 9.11)}"
5,1125.cif,B3+:56.000 Cl1-:8.000 Li1+:32.000 O2-:96.000,Li1,7.0,1.0,2,1,0.071,"[158.31, 158.31, 158.31, 118.203, 118.203, 118.203, 117.381, 117.381, 117.381, 100.527, 100.527, 100.527, 82.236, 82.236, 82.23, 75.995, 75.995, 75.995, 59.947, 59.947, 59.947]","{(-1.96, 4.2, -7.43), (-3.82, -5.74, 4.27), (2.83, -6.06, 0.59), (4.27, 3.82, 5.74), (4.09, 7.84, -3.81), (3.14, -5.17, 11.06), (5.17, -11.06, 3.14), (4.41, 9.16, -5.69), (-3.36, 0.13, -5.6), (10.44, -10.44, 10.44), (-9.69, 1.77, -3.8), (3.8, -9.69, 1.77), (-7.84, 3.81, 4.09), (-6.06, 0.59, -2.83), (-2.39, -3.5, -4.42), (5.74, -4.27, -3.82), (-4.42, 2.39, 3.5), (-11.06, 3.14, -5.17), (-3.81, -4.09, -7.83), (-3.5, -4.42, 2.39), (-9.83, -3.56, 7.63), (9.16, -5.69, -4.41), (5.6, -3.36, 0.13), (1.77, -3.8, 9.69), (-0.59, 2.83, -6.06), (7.63, 9.83, 3.56), (3.56, -7.63, -9.83), (-9.42, -5.41, -0.66), (0.13, -5.6, 3.36), (-4.66, 4.66, -4.66), (0.66, -9.42, -5.41), (5.41, 0.66, -9.42), (-7.43, 1.96, -4.2), (4.2, -7.43, 1.96), (5.69, 4.41, 9.16)}"
6,1126.cif,B3+:56.000 Cl1-:8.000 Li1+:32.104 O2-:96.000,Li1,7.0,1.0,2,1,0.061,"[153.329, 153.329, 153.329, 120.185, 120.179, 120.179, 119.183, 119.183, 119.183, 96.944, 96.944, 96.944, 84.785, 84.785, 84.785, 75.57, 75.57, 75.57, 59.516, 59.516, 59.516]","{(-1.99, 4.24, -7.46), (-3.81, -5.75, 4.26), (2.84, -6.06, 0.59), (4.26, 3.81, 5.75), (4.1, 7.85, -3.85), (3.18, -5.19, 11.08), (5.19, -11.08, 3.18), (4.44, 9.18, -5.71), (-3.36, 0.13, -5.61), (10.45, -10.45, 10.45), (-9.68, 1.78, -3.79), (3.79, -9.68, 1.78), (-7.85, 3.85, 4.1), (-6.06, 0.59, -2.84), (-2.41, -3.48, -4.42), (5.75, -4.26, -3.81), (-4.42, 2.41, 3.48), (-11.08, 3.18, -5.19), (-3.85, -4.1, -7.85), (-3.48, -4.42, 2.41), (-9.85, -3.59, 7.66), (9.18, -5.7, -4.44), (5.61, -3.36, 0.13), (1.78, -3.79, 9.68), (-0.59, 2.84, -6.06), (7.66, 9.85, 3.59), (3.59, -7.66, -9.85), (-9.46, -5.45, -0.69), (0.13, -5.61, 3.36), (-4.7, 4.7, -4.7), (0.69, -9.46, -5.45), (5.45, 0.69, -9.46), (-7.46, 1.99, -4.24), (4.24, -7.46, 1.99), (5.71, 4.44, 9.18)}"
7,1127.cif,B3+:56.000 Cl1-:8.000 Li1+:32.600 O2-:96.000,Li1,7.0,1.0,2,1,0.059,"[152.264, 152.264, 152.264, 120.784, 120.784, 120.777, 119.334, 119.334, 119.334, 96.148, 96.148, 96.148, 85.291, 85.291, 85.291, 75.522, 75.522, 75.522, 59.403, 59.403, 59.403]","{(-1.99, 4.25, -7.48), (-3.82, -5.74, 4.27), (2.84, -6.07, 0.58), (4.27, 3.82, 5.74), (4.12, 7.87, -3.86), (3.19, -5.2, 11.1), (5.2, -11.1, 3.19), (4.44, 9.18, -5.72), (-3.36, 0.13, -5.62), (10.46, -10.46, 10.46), (-9.69, 1.77, -3.78), (3.78, -9.69, 1.77), (-7.87, 3.86, 4.12), (-6.07, 0.58, -2.84), (-2.41, -3.49, -4.43), (5.74, -4.27, -3.82), (-4.43, 2.41, 3.49), (-11.1, 3.19, -5.2), (-3.86, -4.12, -7.87), (-3.49, -4.43, 2.41), (-9.86, -3.6, 7.68), (9.18, -5.72, -4.44), (5.62, -3.36, 0.13), (1.77, -3.78, 9.69), (-0.58, 2.84, -6.07), (7.68, 9.86, 3.6), (3.6, -7.68, -9.86), (-9.47, -5.46, -0.69), (0.13, -5.62, 3.36), (-4.7, 4.7, -4.7), (0.69, -9.47, -5.46), (5.46, 0.69, -9.47), (-7.48, 1.99, -4.25), (4.25, -7.48, 1.99), (5.72, 4.44, 9.18)}"
8,130018.cif,B3+:32.000 Li1+:16.000 O2-:56.000,Li1,7.0,1.0,2,1,0.07,"[156.737, 154.542, 144.815, 140.139, 133.22, 128.448, 106.022, 105.522, 102.68, 94.531, 92.625, 91.398, 89.931, 89.152, 86.583, 84.036, 75.463, 72.2, 65.462, 56.069, 54.732]","{(5.69, 3.64, 4.68), (-0.88, -4.6, -3.17), (-8.28, -3.87, -7.34), (8.86, -8.1, -5.67), (5.42, -5.38, -4.48), (-2.33, 5.1, -4.33), (1.68, 1.74, 6.81), (-11.52, 8.85, -2.1), (0.17, 5.43, -4.89), (11.43, -0.63, -5.55), (7.32, 3.62, -2.84), (6.78, 4.48, 6.75), (-8.6, 1.57, 0.7), (0.33, -8.13, -4.43), (-4.5, -2.68, -2.01), (3.21, -9.98, 3.98), (-2.52, 2.41, 9.77), (-7.19, -3.03, -5.26), (-6.24, -6.05, -4.38), (-0.55, -6.1, -3.08), (-6.33, 3.2, -2.2), (3.16, 6.41, 7.91), (-2.81, 5.69, 9.32), (-0.0, -6.63, -4.51), (-12.07, 9.71, 7.49), (-1.65, -2.69, 9.62), (-8.63, 6.99, 6.3), (3.9, 4.52, -4.47), (2.36, -10.34, -2.98), (-3.8, 2.68, -5.97), (-5.38, -1.78, 9.19), (6.28, 0.85, -1.42), (0.72, -10.31, 4.54), (7.42, 7.02, 7.05), (-2.92, -2.42, -6.13)}"
9,15111.cif,Eu2+:8.000 Eu3+:4.000 Li1+:4.000 O2-:16.000,Eu2,7.0,2.0,6,0,0.071,"[160.068, 160.068, 147.576, 145.437, 125.044, 125.044, 119.696, 119.696, 90.533, 90.533, 86.313, 85.75, 82.461, 82.461, 78.779, 78.779, 77.614, 77.614, 72.602, 72.602, 66.977]","{(-1.79, -9.68, -13.47), (1.79, 9.68, -13.47), (6.17, 1.32, 9.65), (-10.85, -13.09, -0.0), (4.69, 11.77, 10.96), (-5.4, -1.8, -9.75), (5.4, 1.8, -9.75), (-3.6, 7.88, 11.88), (3.6, -7.88, 11.88), (0.0, 0.0, -16.18), (3.6, -7.88, -5.73), (-3.6, 7.88, -5.73), (-12.27, 6.85, 0.0), (-12.33, -2.64, 0.0), (-0.06, -9.49, 0.0), (6.17, 1.32, -7.96), (-6.17, -1.32, 9.65), (1.79, 9.68, 5.46), (-1.79, -9.68, 5.46), (-6.17, -1.32, 10.96), (-4.69, -11.77, 10.96), (1.1, -7.58, -7.96), (-1.1, 7.58, -7.96), (-5.4, -1.8, -8.44), (5.4, 1.8, -8.44), (-6.1, 8.17, 9.65), (-6.17, -1.32, -7.96), (-5.07, -8.9, 0.0), (6.17, 1.32, 10.96), (-1.48, 10.45, 0.0), (6.1, -8.17, 9.65), (-7.27, 6.26, 0.0)}"
10,15111.cif,Eu2+:8.000 Eu3+:4.000 Li1+:4.000 O2-:16.000,Eu3,7.0,2.0,6,0,0.016,"[160.562, 160.562, 139.35, 139.35, 126.72, 126.72, 120.744, 120.744, 93.704, 93.704, 83.229, 83.079, 83.079, 82.802, 79.886, 77.514, 77.514, 75.451, 75.451, 70.032, 70.032]","{(-0.27, -5.32, -8.24), (-0.54, -10.63, 0.0), (-11.33, -7.03, 0.0), (8.95, -8.73, -8.24), (-8.68, 14.04, 0.0), (-5.66, -3.52, 8.54), (5.66, 3.52, 8.54), (-5.4, 1.8, 9.93), (5.4, -1.8, 9.93), (-0.54, -10.63, -9.63), (11.33, 7.03, -9.63), (-11.33, -7.03, -9.63), (-8.95, 8.73, -8.24), (10.79, -3.6, -9.63), (3.55, -6.92, 8.54), (-2.11, -10.44, -0.0), (-10.79, 3.6, 0.0), (-9.22, 3.41, 0.0), (3.28, -12.24, 9.93), (0.54, 10.63, -9.63), (-3.55, 6.92, 8.54), (0.54, 10.63, 0.0), (0.27, 5.32, -8.24), (-3.28, 12.24, 9.93), (0.0, 0.0, -9.63), (-10.79, 3.6, -9.63)}"
